"","countryname","class_inductive","date","n_articles_day","cycle","quarter","priorelecdate","elecdate","gov_type","gov_type_aus_single","gov_type_maj_min","log_gdp_change_lag","poll_change_to_election","country_cycle","electoral_cycle","electoral_cycle_alt","days_cycle","n_articles_cycle","n_articles_prop","n_articles_day_lag"
"64","Australia","Ongoing",1996-05-05,2,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0677248677248677,0.0677248677248677,945,4187,0.000477668975400048,14
"65","Australia","Ongoing",1996-05-06,3,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0687830687830688,0.0687830687830688,945,4187,0.000716503463100072,2
"66","Australia","Ongoing",1996-05-07,2,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0698412698412698,0.0698412698412698,945,4187,0.000477668975400048,3
"67","Australia","Ongoing",1996-05-08,6,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0708994708994709,0.0708994708994709,945,4187,0.00143300692620014,2
"68","Australia","Ongoing",1996-05-09,3,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.071957671957672,0.071957671957672,945,4187,0.000716503463100072,6
"69","Australia","Ongoing",1996-05-10,6,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.073015873015873,0.073015873015873,945,4187,0.00143300692620014,3
"70","Australia","Ongoing",1996-05-11,12,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0740740740740741,0.0740740740740741,945,4187,0.00286601385240029,6
"71","Australia","Ongoing",1996-05-12,5,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0751322751322751,0.0751322751322751,945,4187,0.00119417243850012,12
"72","Australia","Ongoing",1996-05-13,11,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0761904761904762,0.0761904761904762,945,4187,0.00262717936470026,5
"73","Australia","Ongoing",1996-05-14,2,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0772486772486772,0.0772486772486772,945,4187,0.000477668975400048,11
"74","Australia","Ongoing",1996-05-15,2,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0783068783068783,0.0783068783068783,945,4187,0.000477668975400048,2
"75","Australia","Ongoing",1996-05-16,5,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0793650793650794,0.0793650793650794,945,4187,0.00119417243850012,2
"76","Australia","Ongoing",1996-05-17,5,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0804232804232804,0.0804232804232804,945,4187,0.00119417243850012,5
"77","Australia","Ongoing",1996-05-18,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0814814814814815,0.0814814814814815,945,4187,0,5
"78","Australia","Ongoing",1996-05-19,4,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0825396825396825,0.0825396825396825,945,4187,0.000955337950800096,0
